variant,gt_bin,stage,subset,N_proposals,median_abs_log_width_gt_ratio,median_width_gt_ratio,median_width_sec,median_nearest_gt_center_distance_sec,median_best_gt_iou,median_audio_duration_sec
r1,20s+,initial,initial_center_le1s,93,1.1462213140338209,3.0586614194123642,110.74591064453125,0.4312896728515625,0.2219533809336793,282.0
r1,20s+,initial,initial_center_le2s,184,0.9969760340642824,2.4249421575795047,93.98356628417969,0.9734039306640625,0.23068627548663478,223.5
r1,20s+,decoder_layer1,all,3570,0.8492064245071688,0.43516634496425954,19.598770141601562,25.803421020507812,0.09649418954669471,299.0
r1,20s+,decoder_layer1,initial_center_le1s,93,0.7684013923280575,0.47557742096656974,18.86981201171875,7.084190368652344,0.25715720743345055,282.0
r1,20s+,decoder_layer1,initial_center_le2s,184,0.8622097850441481,0.4279719857382822,16.17546844482422,6.938690185546875,0.2285829530181362,223.5
r1,20s+,decoder_layer2,all,3570,1.646862764221113,0.19289313218532464,8.67877197265625,24.449111938476562,0.036669185565080385,299.0
r1,20s+,decoder_layer2,initial_center_le1s,93,1.6164675202664018,0.21135428292410716,8.34228515625,9.8089599609375,0.15384341508914262,282.0
r1,20s+,decoder_layer2,initial_center_le2s,184,1.6359022102365848,0.19756610576923078,7.5806732177734375,8.546226501464844,0.15262483254457132,223.5
r1,20s+,final_span,all,3570,1.0814145156949913,0.34582718368512755,14.842891693115234,21.348953247070312,0.1234066345360317,299.0
r1,20s+,final_span,initial_center_le1s,93,1.0870463665256027,0.3613808768136161,13.557350158691406,6.033843994140625,0.2995191730493533,282.0
r1,20s+,final_span,initial_center_le2s,184,1.1598303402998575,0.31707375175074526,12.302780151367188,6.069278717041016,0.2661310392652895,223.5
r1,overall,initial,all,13470,2.3113401336350363,10.052174886067709,93.92501831054688,26.717742919921875,0.030157977810399018,240.0
r1,overall,initial,initial_center_le1s,476,2.2072281975597905,9.090790303548177,70.34921264648438,0.44521141052246094,0.09232334506456444,152.5
r1,overall,initial,initial_center_le2s,915,2.1479402762456585,8.539202690124512,69.31214904785156,0.9473114013671875,0.0931532847420844,157.0
r1,overall,decoder_layer1,all,13470,0.9386436078424871,1.6756179067823622,14.951908111572266,28.738426208496094,0.0,240.0
r1,overall,decoder_layer1,initial_center_le1s,476,0.6808133270818102,1.4340633816189237,11.17996597290039,5.8290863037109375,0.11759876225589014,152.5
r1,overall,decoder_layer1,initial_center_le2s,915,0.7406815211124965,1.4172897338867188,11.19317626953125,5.5816192626953125,0.12595685032277532,157.0
r1,overall,decoder_layer2,all,13470,0.9168337963663611,0.6809741973876953,5.9268646240234375,28.281414031982422,0.0,240.0
r1,overall,decoder_layer2,initial_center_le1s,476,0.8000522444186948,0.6007098903903714,4.893928527832031,7.534053802490234,0.0,152.5
r1,overall,decoder_layer2,initial_center_le2s,915,0.7996154194341925,0.5974197387695312,4.814666748046875,7.8621826171875,0.0,157.0
r1,overall,final_span,all,13470,0.8659257742327213,1.233104487827846,10.809349060058594,25.633697748184204,0.0,240.0
r1,overall,final_span,initial_center_le1s,476,0.6525371258479451,1.0626823425292968,8.802413940429688,4.746694564819336,0.17560531490237286,152.5
r1,overall,final_span,initial_center_le2s,915,0.6932768718566967,1.0548182896205358,8.5335693359375,4.613983154296875,0.16769751448235362,157.0
